연도,시도,시군구,계약종별, 1월 , 2월 , 3월 , 4월 , 5월 , 6월 , 7월 , 8월 , 9월 , 10월 , 11월 , 12월 ,
2024,서울특별시,종로구,주택용," 24,457,510 "," 23,282,118 "," 20,752,552 "," 19,900,744 "," 18,662,717 "," 20,731,045 "," 26,375,485 "," 34,343,894 "," 31,891,867 "," 21,788,722 "," 19,643,020 "," 21,731,076 ",
2024,서울특별시,종로구,일반용," 118,970,820 "," 108,084,734 "," 96,998,216 "," 89,178,768 "," 87,147,189 "," 101,152,419 "," 117,765,244 "," 131,105,322 "," 120,742,720 "," 94,072,845 "," 87,651,492 "," 104,258,314 ",
2024,서울특별시,종로구,교육용," 10,915,579 "," 9,659,512 "," 8,515,101 "," 7,473,415 "," 6,702,641 "," 8,225,254 "," 9,421,139 "," 10,233,285 "," 10,396,665 "," 7,694,117 "," 7,156,159 "," 9,737,563 ",
2024,서울특별시,종로구,산업용," 5,977,510 "," 6,292,446 "," 5,672,759 "," 5,735,979 "," 5,085,070 "," 5,394,869 "," 5,880,941 "," 6,096,005 "," 6,312,881 "," 4,782,609 "," 4,657,390 "," 5,079,574 ",
2024,서울특별시,종로구,농사용," 1,314 "," 1,190 "," 3,539 "," 1,655 "," 1,246 "," 1,276 "," 1,732 "," 1,511 "," 1,672 "," 1,415 "," 1,386 "," 1,728 ",
2024,서울특별시,종로구,가로등," 701,358 "," 657,437 "," 603,069 "," 572,700 "," 531,209 "," 511,086 "," 502,779 "," 538,198 "," 586,619 "," 604,786 "," 643,224 "," 664,275 ",
2024,서울특별시,종로구,심 야," 2,176,602 "," 2,120,798 "," 1,792,578 "," 1,933,616 "," 3,122,539 "," 4,869,846 "," 7,034,770 "," 7,713,163 "," 5,675,329 "," 1,911,643 "," 988,054 "," 1,470,727 ",
2024,서울특별시,종로구,합 계," 163,200,693 "," 150,098,235 "," 134,337,814 "," 124,796,877 "," 121,252,611 "," 140,885,795 "," 166,982,090 "," 190,031,378 "," 175,607,753 "," 130,856,137 "," 120,740,725 "," 142,943,257 ",
2024,서울특별시,중구,주택용," 19,981,933 "," 18,874,914 "," 17,100,485 "," 16,496,121 "," 15,771,600 "," 17,660,758 "," 23,027,128 "," 29,838,249 "," 26,737,050 "," 18,139,476 "," 16,220,755 "," 18,555,272 ",
2024,서울특별시,중구,일반용," 168,696,850 "," 151,277,557 "," 139,014,758 "," 130,597,903 "," 132,961,518 "," 152,655,182 "," 178,543,663 "," 195,862,909 "," 177,959,940 "," 141,020,463 "," 130,063,626 "," 151,767,127 ",
2024,서울특별시,중구,교육용," 5,656,362 "," 4,527,247 "," 4,181,968 "," 3,239,471 "," 3,053,083 "," 3,605,766 "," 4,002,971 "," 4,109,882 "," 4,334,945 "," 3,168,886 "," 3,376,429 "," 5,101,954 ",
2024,서울특별시,중구,산업용," 19,120,690 "," 18,530,057 "," 16,377,017 "," 16,443,403 "," 14,793,729 "," 15,897,490 "," 17,954,197 "," 18,589,123 "," 18,692,557 "," 15,149,023 "," 14,645,195 "," 16,858,332 ",
